ID	Epoch Day	Weekday	Date	When	Event	Tag
id=illuminati-1588	6941	Wed 1 January 1919	01/01/1919	1919 AD.	Founding of Thule Society in Germany; Hitler recruited.	#illuminati
id=illuminati-1591	6941	Wed 1 January 1919	01/01/1919	1919 AD.	Freud draws attention to Austrian neurologist Poetzl's experiments with the tachistroscope, an early device for studying subliminal perception.	#illuminati
id=illuminati-1594	6941	Wed 1 January 1919	01/01/1919	1919 AD.	Hitler joins the German Workers' Party.	#illuminati
id=illuminati-1597	6941	Wed 1 January 1919	01/01/1919	1919 AD.	League of Nations founded at Paris Peace Conference.	#illuminati
id=illuminati-1600	6941	Wed 1 January 1919	01/01/1919	1919 AD.	Meeting at the Majestic Hotel, Paris, between Wilsonian intellectuals (House, Dulles and Dulles, etc.) and 'like-minded Englishmen' to discuss forming an organization 'for the study of international affairs.'	#illuminati
id=illuminati-1603	6941	Wed 1 January 1919	01/01/1919	1919 AD.	Royal Institute of International Affairs founded.	#illuminati
id=illuminati-1606	7306	Thu 1 January 1920	01/01/1920	1920s AD.	Assassination of estimated 400 German public figures begins.	#illuminati
id=illuminati-1609	7306	Thu 1 January 1920	01/01/1920	1920s AD.	Development of modern advertising techniques emphasizing manipulation rather than information.	#illuminati
id=illuminati-1612	7306	Thu 1 January 1920	01/01/1920	1920 AD.	GWP becomes the National Socialist German Worker's Party.	#illuminati
id=illuminati-1615	7306	Thu 1 January 1920	01/01/1920	1920s AD.	U.S. entry into League of Nations blocked in Senate.	#illuminati
id=illuminati-1618	7672	Sat 1 January 1921	01/01/1921	1921 AD.	Council on Foreign Relations incorporated; founded by Wilsonians House, Dulles and company upon their return from Paris, with the help of the Round Table Group.	#illuminati
id=illuminati-1621	7672	Sat 1 January 1921	01/01/1921	1921 AD.	Hitler takes over the NSGWP.	#illuminati
id=illuminati-1624	7672	Sat 1 January 1921	01/01/1921	1921 AD.	Marconi states he believes mysterious V code on pre-WWI radio came from space; Tesla recalls seeing lights, vivid images, when he was a boy.	#illuminati
id=illuminati-1627	8037	Sun 1 January 1922	01/01/1922	1922 AD.	CFR journal Foreign Affairs founded.	#illuminati
id=illuminati-1630	8037	Sun 1 January 1922	01/01/1922	1922 AD.	Cheka reorganized as GPU, Russian secret police.	#illuminati
id=illuminati-1633	8037	Sun 1 January 1922	01/01/1922	1922 AD.	King Tutankhamen's tomb opened in Egypt, thus invoking 'King Tut's Curse'; 14 violent deaths in as many years linked to the curse.	#illuminati
id=illuminati-1636	8037	Sun 1 January 1922	01/01/1922	1922 AD.	Mussolini, alleged British Intelligence agent, comes to power in Italy, begins attempt to eliminate Mafia in Sicily.	#illuminati
id=illuminati-1639	8402	Mon 1 January 1923	01/01/1923	1923 AD.	Assassination of Pancho Villa in Mexico.	#illuminati
id=illuminati-1642	8402	Mon 1 January 1923	01/01/1923	1923 AD.	Fort's New Lands published.	#illuminati
id=illuminati-1645	8402	Mon 1 January 1923	01/01/1923	1923 AD.	Founding of Hitler's National-Socialist (Nazi) Party in Germany.	#illuminati
id=illuminati-1648	8402	Mon 1 January 1923	01/01/1923	1923 AD.	In the face of the Teapot Dome and other scandals, President Harding visits Alaska and receives a 'long ciphered message' which visibly upsets him, causing him to ask what a president could do when friends betrayed him; he died soon after among conflicting rumours about the cause of his death.	#illuminati
id=illuminati-1651	8402	Mon 1 January 1923	01/01/1923	1923 AD.	International Police (Interpol) founded in Vienna.	#illuminati
id=illuminati-1654	8767	Tue 1 January 1924	01/01/1924	1924 AD.	During Mars' closest approach radios around the world went off the air in order to allow interception of any possible messages from space; when translated onto photographic tape, signals received produced crudely drawn faces.	#illuminati
id=illuminati-1657	8767	Tue 1 January 1924	01/01/1924	1924 AD.	J. Edgar Hoover takes over FBI.	#illuminati
id=illuminati-1660	8767	Tue 1 January 1924	01/01/1924	1924 AD.	Lovecraft ghostwrites for Houdini.	#illuminati
id=illuminati-1663	9133	Thu 1 January 1925	01/01/1925	1925 AD.	Lionel Curtis organizes the Institutes of Pacific Relations in at least ten countries for the Round Table Group.	#illuminati
id=illuminati-1666	9498	Fri 1 January 1926	01/01/1926	1926 AD.	Suicide of synchronicity researcher Paul Krammerer, biologist, Freemason.	#illuminati
id=illuminati-1669	9863	Sat 1 January 1927	01/01/1927	1927 AD.	Rise of the CFR due to Rockefeller and other foundation funding.	#illuminati
id=illuminati-1672	9863	Sat 1 January 1927	01/01/1927	1927 AD.	The Crystal Skull discovered in ruins of Lubaantun in British Honduras.	#illuminati
id=illuminati-1675	10228	Sun 1 January 1928	01/01/1928	1928 AD.	Nomination of Catholic Al Smith sparks last spurt of growth for the KKK.	#illuminati
id=illuminati-1678	10228	Sun 1 January 1928	01/01/1928	1928 AD.	Soviet produced film shows conditioned reflex experiments on humans.	#illuminati
id=illuminati-1681	10594	Tue 1 January 1929	01/01/1929	1929 AD.	CFR moves to Harold Pratt Building on 68th Street.	#illuminati
id=illuminati-1684	10594	Tue 1 January 1929	01/01/1929	1929 AD.	Great Depression begins.	#illuminati
id=illuminati-1687	10594	Tue 1 January 1929	01/01/1929	1929 AD.	Quisling's About the Matter That Inhabited Worlds Outside Ours and the Significance Caused by It to Our Philosophy of Life published.	#illuminati
id=illuminati-1690	10959	Wed 1 January 1930	01/01/1930	1930s AD.	Continuing political assassinations accompany Nazi rise to power.	#illuminati
id=illuminati-1693	10959	Wed 1 January 1930	01/01/1930	1930s AD.	Mafia becomes integral part of the U.S. organized crime.	#illuminati
id=illuminati-1696	10959	Wed 1 January 1930	01/01/1930	1930 AD.	Pavlov begins applying knowledge of conditioned reflex to human psychosis.	#illuminati
id=illuminati-1699	11324	Thu 1 January 1931	01/01/1931	1931 AD.	Fort's Lo! published.	#illuminati
id=illuminati-1702	11689	Fri 1 January 1932	01/01/1932	1932 AD.	Fort dies after publishing his last book, Wild Talents.	#illuminati
